Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
K1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,6-9
K2wHD,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,1-8-6
M1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,5-8-2
M1w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,9-6 S
M2e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,7-8
M2w,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,6-9
M3e,Daitenryu,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,6-9
M3w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,3-12
M4e,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,4-11
M4w,Araiwa,Hanakago,Akita,02.02.1931,169 cm 114 kg,6-9
M5e,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,6-9
M5w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,6-5-4
M6e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,8-7
M6w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,12-3 J
M7e,Dewaminato,Dewanoumi,Aomori,14.04.1923,177 cm 98 kg,6-9
M7w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,12-3 J
M8e,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,10-5 G
M8w,Yoshinomine,Takashima,Aomori,07.07.1931,173 cm 96 kg,4-11
M9e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,4-11
M9w,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,10-5
M10e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,5-10
M10w,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,5-10
M11e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,8-7
M11w,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,11-4
M12e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,7-8
M12w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,8-7
M13e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,5-10
M13w,Dewanohana,Dewanoumi,Aomori,01.11.1928,176 cm 94 kg,0-0-15
M14e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,6-9
M14w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,10-5
M15e,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,8-7
M15w,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,10-5
M16e,Fukunoumi,Asahiyama,Fukui,28.04.1930,175 cm 108 kg,6-9
M16w,Orochigata,Nishikijima,Akita,20.05.1919,179 cm 120 kg,5-10
M17e,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,7-8
M17w,Onoura,Hanakago,Akita,21.10.1925,171 cm 99 kg,7-8
M18e,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,8-7
M18w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,7-8
M19e,Kiunzan,Oitekaze,Niigata,02.01.1932,180 cm 81 kg,7-8
M19w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182 cm 92 kg,9-6
M20e,Tachikaze,Izutsu,Kagoshima,02.08.1930,175 cm 90 kg,4-11
M20w,Takanishiki,Takasago,Kumamoto,12.02.1934,168 cm 152 kg,8-7
M21e,Maenoyama,Takasago,Ehime,02.07.1931,176 cm 102 kg,4-11
M21w,Hirakagawa,Tatsunami,Akita,31.03.1924,179 cm 100 kg,9-6
M22e,Kamioiyama,Nishonoseki,Kagawa,24.05.1931,173 cm 90 kg,9-6
M22w,Yasome,Kasugano,Tochigi,01.07.1929,172 cm 93 kg,9-6
M22eHD,Hiodoshi,Nishikijima,Akita,22.08.1922,179 cm 120 kg,6-9
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,11-4
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,3-6-6
Y2eHD,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,9-6
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,12-3 J
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,13-2 Y
O1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5
O2eHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,0-0-15
S1e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,11-4 S
S1w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,6-9
S2eHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,8-7
K1e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,7-8
K1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,5-10
K2wHD,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,8-7 K
M1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,5-10
M1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,9-6 G
M2e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,3-12
M2w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,4-11
M3e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,2-13
M3w,Araiwa,Hanakago,Akita,02.02.1931,169 cm 114 kg,5-8-2
M4e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,6-9
M4w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,7-8
M5e,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,4-11
M5w,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,11-4
M6e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,8-7
M6w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,9-6
M7e,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,5-10
M7w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,9-6
M8e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,5-10
M8w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,11-4
M9e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,8-7
M9w,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,8-7
M10e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,10-5
M10w,Fukunoumi,Asahiyama,Fukui,28.04.1930,175 cm 108 kg,4-11
M11e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,9-6
M11w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,9-6
M12e,Koinose,Asahiyama,Ehime,21.01.1930,170 cm 105 kg,5-10
M12w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,8-7
M13e,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,5-10
M13w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,9-6
M14e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,12-3 J
M14w,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,7-8
M15e,Hirosegawa,Araiso,Miyagi,28.02.1919,180 cm 105 kg,8-7
M15w,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,9-6
M16e,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,9-6
M16w,Yasome,Kasugano,Tochigi,01.07.1929,172 cm 93 kg,7-8
M17e,Maenoyama,Takasago,Ehime,02.07.1931,176 cm 102 kg,7-8
M17w,Dewaminato,Dewanoumi,Aomori,14.04.1923,177 cm 98 kg,5-10
M18e,Yoshinomine,Takashima,Aomori,07.07.1931,173 cm 96 kg,9-6
M18w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177 cm 73 kg,7-8
M19e,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,7-8
M19w,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,8-7
M20e,Ononishiki,Onogawa,Osaka,20.03.1922,176 cm 98 kg,7-8
M20w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,9-6
M21e,Hakuryuyama,Araiso,Akita,10.03.1926,176 cm 109 kg,3-12
M21w,Takanishiki,Takasago,Kumamoto,12.02.1934,168 cm 152 kg,9-6
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,14-1 Y
Y1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,10-5
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,3-3-9
O1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,11-4 J
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,2-6-7
S1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,9-6 S
S1w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,3-12
S2wHD,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,9-6
K1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,4-11
K1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,7-8
K2eHD,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,10-5 G
M1e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,8-7
M1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,10-5
M2e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,0-0-15
M2w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,9-6
M3e,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,0-2-13
M3w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,3-12
M4e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,9-6
M4w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,10-5 K
M5e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,7-8
M5w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,6-9
M6e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,6-9
M6w,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,9-6
M7e,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,5-10
M7w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,8-7
M8e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,8-7
M8w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,10-5
M9e,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,6-9
M9w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,10-5
M10e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,11-4 J
M10w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,8-7
M11e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,8-7
M11w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177 cm 73 kg,9-6
M12e,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,4-11
M12w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,8-7
M13e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,7-8
M13w,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,4-11
M14e,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,4-11
M14w,Hanenishiki,Takashima,Hyogo,17.10.1935,180 cm 135 kg,4-6-5
M15e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,8-7
M15w,Yoshinomine,Takashima,Aomori,07.07.1931,173 cm 96 kg,7-8
M16e,Togashi,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,8-7
M16w,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,9-6
M17e,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,7-8
M17w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,8-7
M18e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,5-10
M18w,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,7-8
M19e,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,9-6
M19w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,3-12
M20e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,8-7
M20w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174 cm 108 kg,8-7
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,14-1 Y
Y1w,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,0-3-12
Y2eHD,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,11-4
O1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,7-8
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,9-6
S1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,8-7
S1w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,9-6
S2wHD,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,6-9
K1e,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,9-6 G
K1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,4-11
K2eHD,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,8-7
M1e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,7-8
M1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,8-7
M2e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,9-6
M2w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,6-9
M3e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,9-6 S
M3w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,5-10
M4e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,9-6
M4w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,6-9
M5e,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,8-7
M5w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,10-5
M6e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,9-6
M6w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,4-11
M7e,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,7-8
M7w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,7-8
M8e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,7-8
M8w,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,2-4-9
M9e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,6-9
M9w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,9-6
M10e,Hanenishiki,Takashima,Hyogo,17.10.1935,180 cm 135 kg,6-9
M10w,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,10-5
M11e,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,7-8
M11w,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181 cm 119 kg,6-9
M12e,Tamahibiki,Nishonoseki,Oita,03.10.1935,178 cm 98 kg,10-5
M12w,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,6-9
M13e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,4-4-7
M13w,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 101 kg,12-3 JK
M14e,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,4-11
M14w,Wakanokuni,Hanakago,Gifu,04.04.1936,181 cm 125 kg,9-6
M15e,Myobudani,Miyagino,Hokkaido,29.04.1937,189 cm 113 kg,5-10
M15w,Udagawa,Miyagino,Tokyo,03.12.1939,179 cm 110 kg,7-8
M16e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,5-10
M16w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177 cm 73 kg,5-10
Y1e,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,9-6
Y1w,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,12-3 J
O1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,10-5
O1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,13-2 Y
O2eHD,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 123 kg,10-5
O2wHD,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,12-3 J
S1e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,8-7
S1w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,8-7
S2eHD,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,5-10
K1e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,8-7 S
K1w,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,8-7
M1e,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,6-9
M1w,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,5-10
M2e,Tochinoumi,Kasugano,Aomori,13.03.1938,177 cm 110 kg,0-0-15
M2w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,4-11
M3e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,10-5 G
M3w,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181 cm 125 kg,4-11
M4e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,4-11
M4w,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,10-5 K
M5e,Wakanoumi,Hanakago,Akita,02.02.1931,169 cm 114 kg,6-9
M5w,Tamahibiki,Nishonoseki,Oita,03.10.1935,178 cm 98 kg,5-10
M6e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,8-7
M6w,Maedagawa,Takasago,Iwate,09.02.1939,170 cm 117 kg,5-10
M7e,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,8-7
M7w,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,9-6
M8e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,9-6
M8w,Udagawa,Miyagino,Tokyo,03.12.1939,179 cm 110 kg,6-9
M9e,Kairyuyama,Isegahama,Akita,28.08.1939,179 cm 116 kg,7-8
M9w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,8-7
M10e,Myobudani,Miyagino,Hokkaido,29.04.1937,189 cm 113 kg,8-7
M10w,Wakasugiyama,Tokitsukaze,Fukuoka,24.01.1933,177 cm 120 kg,7-8
M11e,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,4-11
M11w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174 cm 108 kg,7-8
M12e,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182 cm 129 kg,10-5
M12w,Wakachichibu,Hanakago,Saitama,16.03.1939,175 cm 150 kg,7-8
M13e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,7-8
M13w,Wakanokuni,Hanakago,Gifu,04.04.1936,181 cm 125 kg,4-11
M14e,Fukudayama,Dewanoumi,Nagasaki,18.07.1931,181 cm 94 kg,7-8
M14w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,1-6-8
M15e,Shinoburyu,Onogawa,Ibaraki,28.06.1940,172 cm 120 kg,8-7
M15w,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,10-5
Y1e,Taiho,Nishonoseki,Hokkaido,29.05.1940,187 cm 124 kg,13-2 Y
Y1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188 cm 139 kg,10-5
Y2e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,11-4
Y2w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,0-0-15
O1e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173 cm 119 kg,8-7
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177 cm 117 kg,9-6
S1e,Tochinoumi,Kasugano,Aomori,13.03.1938,177 cm 110 kg,9-6 G
S1w,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182 cm 129 kg,9-6
S2eHD,Haguroyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,10-5
S2wHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,9-6
K1e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,1-14
K1w,Fujinishiki,Takasago,Yamanashi,18.03.1937,175 cm 136 kg,4-11
K2eHD,Kairyuyama,Isegahama,Akita,28.08.1939,179 cm 116 kg,4-11
K2wHD,Wakamisugi,Hanakago,Kagawa,24.09.1937,188 cm 133 kg,8-7
M1e,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,7-8
M1w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182 cm 120 kg,8-7 S
M2e,Kainoyama,Onogawa,Ibaraki,28.06.1940,172 cm 120 kg,4-11
